merchant,public_category,root,mid_level,leaf
Mr Price,Value Retailer (South Africa),Expense,Shopping,General Retail
Mr. Electric,Electrical Service,Expense,Housing & Utilities,Utilities
Mr. Handyman,Handyman Service,Expense,Housing & Utilities,Utilities
Mr. Pizza Korea,Pizza Chain (Korea),Expense,Food & Dining,Restaurants
Mr. Rooter,Plumbing Service,Expense,Housing & Utilities,Home Services
Mr. Rooter Plumbing,Plumbing Service,Expense,Housing & Utilities,Utilities
Mrs. Fields,Cookie & Snack Chain,Expense,Food & Dining,Snacks & Drinks
MSI,Gaming Hardware,Expense,Shopping,Electronics
MSR,Camping & Mountaineering Gear,Expense,Shopping,Sporting Goods
MTA,Metropolitan Transit Authority,Expense,Transportation,Public Transit
MTN,Telecom (Africa),Expense,Housing & Utilities,Utilities
MUBI,Curated Film Streaming,Expense,Entertainment,Streaming Video
Mug & Bean,Coffee & Restaurant (SA),Expense,Food & Dining,Restaurants
Muji,Lifestyle Goods (Japan),Expense,Shopping,General Retail
Muji Stationery,Minimal Stationery,Expense,Shopping,Office Supplies
Mural,Visual Collaboration,Expense,Technology,Software & SaaS
Murphy USA,Gas Station,Expense,Transportation,Gas & Fuel
Murray's Bagels,Bagel Shop (NYC),Expense,Food & Dining,Bakery & Desserts
Myer,Department Store (Australia),Expense,Shopping,General Retail
MyFitnessPal,Calorie Tracking App,Expense,Entertainment,Sports & Recreation
Myntra,Fashion E-Commerce (India),Expense,Shopping,General Retail
Mystery Ranch,Tactical Backpacks,Expense,Shopping,Clothing & Apparel
Mövenpick,Upscale Hotel (Accor),Expense,Travel,Hotels & Lodging
Müller,Drugstore (Germany),Expense,Health & Wellness,Pharmacy
N2 Extreme Gelato,Liquid Nitrogen Gelato,Expense,Food & Dining,Ice Cream & Yogurt
N26,Digital Bank (Germany),Expense,Financial Services,Banking Fees
Naan & Curry,Indian Fast Casual,Expense,Food & Dining,Restaurants
Naf Naf Grill,Middle Eastern Fast Casual,Expense,Food & Dining,Restaurants
Nakau,Udon & Donburi (Japan),Expense,Food & Dining,Restaurants
Nakumatt,Supermarket Chain,Expense,Food & Dining,Groceries
Namecheap,Domain & Hosting,Expense,Technology,Software & SaaS
Namshi,Fashion E-Commerce (Middle East),Expense,Shopping,General Retail
Nando's,Fast Casual Peri-Peri Chicken,Expense,Food & Dining,Fast Food
Nando's South Africa,Peri-Peri Chicken,Expense,Food & Dining,Restaurants
Nando's UK,Peri-Peri Chicken (UK),Expense,Food & Dining,Restaurants
Nanit,Baby Monitor,Expense,Kids & Family,Toys & Activities
NAPA Auto Parts,Auto Parts Retailer,Expense,Transportation,Car Service & Parts
Nara Thai,Thai Restaurant,Expense,Food & Dining,Restaurants
NARS Cosmetics,Prestige Cosmetics,Expense,Health & Wellness,Beauty & Spa
NASCAR,Stock Car Racing,Expense,Entertainment,Sports & Recreation
National Car Rental,Car Rental,Expense,Travel,Hotels & Lodging
National Fuel Gas,Natural Gas Utility,Expense,Housing & Utilities,Utilities
National Gallery,Art Museum (UK),Expense,Entertainment,Movies & Events
National Grid,Electric & Gas Utility,Expense,Housing & Utilities,Utilities
National Zoo,Zoo,Expense,Entertainment,Amusement & Parks
Nationwide,Insurance,Expense,Housing & Utilities,Utilities
Natural Grocers,Organic Grocery,Expense,Food & Dining,Groceries
Naturalia,Organic Grocery (France),Expense,Food & Dining,Groceries
Nature Conservancy,Environmental Charity,Expense,Donations & Gifts,Charity & Donations
Nature's Basket,Premium Grocery,Expense,Food & Dining,Groceries
Nature's Bounty,Supplement Brand,Expense,Health & Wellness,Health Products
NatWest,Bank (UK),Expense,Financial Services,Banking Fees
Naughty Dog,Game Developer (TLOU),Expense,Entertainment,Gaming
Naver Shopping,E-Commerce (Korea),Expense,Shopping,General Retail
Navigo,Paris Transit Card,Expense,Transportation,Public Transit
Navy Federal Credit Union,Credit Union,Expense,Financial Services,Banking Fees
Nayuki,Tea & Bakery (China),Expense,Food & Dining,Coffee & Tea
NBA,Professional Basketball League,Expense,Entertainment,Sports & Recreation
NCSoft,Game Publisher (Korea),Expense,Entertainment,Gaming
Nebraska Furniture Mart,Furniture & Electronics,Expense,Shopping,Home & Garden
Neighborhood,Japanese Streetwear,Expense,Shopping,Clothing & Apparel
Neiman Marcus,Luxury Department Store,Expense,Shopping,General Retail
Nekter Juice Bar,Cold-Pressed Juice,Expense,Food & Dining,Snacks & Drinks
Nemo Equipment,Tents & Sleep,Expense,Shopping,Sporting Goods
Nene Chicken,Fried Chicken (Korea),Expense,Food & Dining,Restaurants
NerdWallet,Financial Advice Platform,Expense,Financial Services,Banking Fees
Nerf,Toy Blaster Brand (Hasbro),Expense,Kids & Family,Toys & Activities
Nespresso,Coffee Machine,Expense,Shopping,Electronics
Nest,Smart Home (Google),Expense,Shopping,Electronics
Nest Thermostat,Smart Thermostat,Expense,Housing & Utilities,Home Services
NetEase Games,Game Publisher (China),Expense,Entertainment,Gaming
Netflix,Video Streaming Service,Expense,Entertainment,Streaming Video
Netlify,Web Deployment Platform,Expense,Technology,Software & SaaS
Netto,Discount Supermarket,Expense,Food & Dining,Groceries
Neutrogena,Skincare & Suncare,Expense,Health & Wellness,Beauty & Spa
New Balance,Athletic Footwear & Apparel,Expense,Shopping,Clothing & Apparel
New Era,Cap & Headwear Brand,Expense,Shopping,Clothing & Apparel
New Jersey Natural Gas,Gas Utility,Expense,Housing & Utilities,Utilities
New Look,Fashion Retailer (UK),Expense,Shopping,Clothing & Apparel
New Otani,Hotel Chain (Japan),Expense,Travel,Hotels & Lodging
New Relic,Application Monitoring,Expense,Technology,Software & SaaS
New Seasons Market,Natural Grocery,Expense,Food & Dining,Groceries
New World,Supermarket (NZ),Expense,Food & Dining,Groceries
New York Life,Life Insurance,Expense,Financial Services,Banking Fees
NewEgg,Online Electronics Retailer,Expense,Shopping,Electronics
Nexon,Game Publisher (Korea),Expense,Entertainment,Gaming
NextEra Energy,Electric Utility,Expense,Housing & Utilities,Utilities
NFL,Professional Football League,Expense,Entertainment,Sports & Recreation
NH Hotels,Hotel Chain (Spain),Expense,Travel,Hotels & Lodging
NHL,Professional Hockey League,Expense,Entertainment,Sports & Recreation
Niantic,Mobile Game Developer,Expense,Entertainment,Gaming
Nice Ride,Bike Share (Minneapolis),Expense,Transportation,Rideshare
Nijiya Market,Japanese Grocery,Expense,Food & Dining,Groceries
Nike,Athletic Apparel & Footwear,Expense,Shopping,Clothing & Apparel
Nike Training Club,Workout App,Expense,Entertainment,Sports & Recreation
Nikon,Camera & Imaging,Expense,Shopping,Electronics
Nine Hours,Capsule Hotel (Japan),Expense,Travel,Hotels & Lodging
Ninja,Kitchen Appliances,Expense,Shopping,Electronics
Nintendo,Game Company,Expense,Entertainment,Gaming
Nintendo eShop,Digital Game Store,Expense,Entertainment,Gaming
Nintendo Switch Online,Game Subscription,Expense,Entertainment,Gaming
Nisa,Convenience Store,Expense,Food & Dining,Groceries
Nissan Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
NJ Transit,State Transit Authority,Expense,Transportation,Public Transit
No Frills,Discount Grocery (Canada),Expense,Food & Dining,Groceries
Noah NYC,Streetwear & Sustainability,Expense,Shopping,Clothing & Apparel
Noah's Bagels,Bagel Chain,Expense,Food & Dining,Bakery & Desserts
Nobu,Japanese Fine Dining,Expense,Food & Dining,Restaurants
Nobu Dubai,Japanese Fine Dining,Expense,Food & Dining,Restaurants
Nobu Hotel,Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Nobull,CrossFit Training Shoes,Expense,Shopping,Clothing & Apparel
Nom Nom Now,Fresh Pet Food,Expense,Shopping,Pet Supplies
Noma,Fine Dining (Copenhagen),Expense,Food & Dining,Restaurants
Nomad,Premium Tech Accessories,Expense,Shopping,Electronics
Nomad Coffee,Specialty Coffee (Barcelona),Expense,Food & Dining,Coffee & Tea
Noodles & Company,Fast Casual Noodle,Expense,Food & Dining,Fast Food
Noom,Weight Loss App,Expense,Health & Wellness,Health Products
Noon,E-Commerce (Middle East),Expense,Shopping,General Retail
Norauto,Auto Service (France),Expense,Transportation,Car Service & Parts
NordicTrack,Home Fitness Equipment,Expense,Shopping,Sporting Goods
NordicTrack iFit,Connected Fitness,Expense,Entertainment,Sports & Recreation
Nordsee,Fast Food Seafood (Germany),Expense,Food & Dining,Fast Food
Nordstrom,Upscale Department Store,Expense,Shopping,General Retail
Nordstrom Rack,Off-Price Department,Expense,Shopping,General Retail
NordVPN,Virtual Private Network,Expense,Technology,Software & SaaS
Norma,Discount Supermarket,Expense,Food & Dining,Groceries
Northgate Gonzalez Market,Hispanic Supermarket,Expense,Food & Dining,Groceries
Northgate Market,Hispanic Supermarket,Expense,Food & Dining,Groceries
Northwestern Mutual,Life Insurance,Expense,Financial Services,Banking Fees
Norton,Cybersecurity Software,Expense,Technology,Software & SaaS
Norwegian Air,Low-Cost (Scandinavia),Expense,Travel,Airlines
Notes Coffee,Specialty Coffee (London),Expense,Food & Dining,Coffee & Tea
Nothing,Tech Brand (UK),Expense,Shopping,Electronics
Nothing Bundt Cakes,Specialty Cake Shop,Expense,Food & Dining,Bakery & Desserts
Notion,Productivity & Notes,Expense,Technology,Software & SaaS
Novotel,Midscale Hotel (Accor),Expense,Travel,Hotels & Lodging
NOW Foods,Natural Supplements,Expense,Health & Wellness,Health Products
Now TV,Streaming (UK),Expense,Entertainment,Streaming Video
NPR,Public Radio,Expense,Donations & Gifts,Charity & Donations
NTB - National Tire,Tire & Auto Service,Expense,Transportation,Car Service & Parts
NTT Docomo,Mobile (Japan),Expense,Housing & Utilities,Utilities
Nubank,Digital Bank (Brazil),Expense,Financial Services,Banking Fees
Nugget Markets,Specialty Grocery (CA),Expense,Food & Dining,Groceries
Nuna,Premium Baby Gear,Expense,Kids & Family,Toys & Activities
Nuna Baby,Premium Baby Gear,Expense,Kids & Family,Toys & Activities
Nusret (Salt Bae),Turkish Steakhouse,Expense,Food & Dining,Restaurants
Nutrafol,Hair Growth Supplement,Expense,Health & Wellness,Health Products
Nutrisystem,Meal Delivery (Weight Loss),Expense,Health & Wellness,Health Products
NVIDIA,GPU Manufacturer,Expense,Shopping,Electronics
NYX Cosmetics,Affordable Cosmetics,Expense,Health & Wellness,Beauty & Spa
O'Charley's,Casual Dining Restaurant,Expense,Food & Dining,Restaurants
O'Reilly Auto Parts,Auto Parts Retailer,Expense,Transportation,Car Service & Parts
O2,Mobile Operator (Germany/UK),Expense,Housing & Utilities,Utilities
Obe Fitness,Live Fitness Classes,Expense,Entertainment,Sports & Recreation
Oberoi Hotels,Luxury Hotel (India),Expense,Travel,Hotels & Lodging
OBI,Home Improvement (Germany),Expense,Shopping,Home & Garden
Obicà,Mozzarella Bar (Italy),Expense,Food & Dining,Restaurants
Obsidian,Knowledge Management App,Expense,Technology,Software & SaaS
Ocado,Online Grocery Delivery,Expense,Food & Dining,Groceries
Ocean Basket,Seafood (South Africa),Expense,Food & Dining,Restaurants
Ocean Park Hong Kong,Theme Park & Aquarium,Expense,Entertainment,Amusement & Parks
Ocean Prime,Upscale Seafood & Steak,Expense,Food & Dining,Restaurants
Octopus Card,Hong Kong Transit,Expense,Transportation,Public Transit
Oculus/Meta Quest,VR Headset,Expense,Shopping,Electronics
Odeon,Movie Theater (UK),Expense,Entertainment,Movies & Events
Oetker Collection,Luxury Hotel,Expense,Travel,Hotels & Lodging
Off-White,Luxury Streetwear,Expense,Shopping,Clothing & Apparel
Office Depot,Office Supply Retailer,Expense,Shopping,Office Supplies
Office Depot/OfficeMax,Office Supply,Expense,Shopping,Office Supplies
OfficeMax,Office Supply Retailer,Expense,Shopping,Office Supplies
Ofo,Bike Share (China),Expense,Transportation,Rideshare
Ohsho,Gyoza Chain (Japan),Expense,Food & Dining,Restaurants
Oiselle,Women's Running Apparel,Expense,Shopping,Sporting Goods
Ola,Ride-Hailing (India),Expense,Transportation,Rideshare
Old Navy,Value Casual Apparel,Expense,Shopping,Clothing & Apparel
Old Town White Coffee,Malaysian Coffee & Food,Expense,Food & Dining,Restaurants
Old Wild West,American Grill (Italy),Expense,Food & Dining,Restaurants
Ole & Steen,Danish Bakery (London),Expense,Food & Dining,Bakery & Desserts
Olive Garden,Italian Casual Dining,Expense,Food & Dining,Restaurants
Olive Young,Health & Beauty (Korea),Expense,Health & Wellness,Pharmacy
Oliver's Market,Natural Grocery (CA),Expense,Food & Dining,Groceries
Ollie,Fresh Dog Food Delivery,Expense,Shopping,Pet Supplies
Ollie Pet Food,Fresh Dog Food,Expense,Shopping,Pet Supplies
Ollie's Bargain Outlet,Discount Retailer,Expense,Shopping,General Retail
Olly,Gummy Vitamins,Expense,Health & Wellness,Health Products
Omega,Luxury Watch Manufacturer,Expense,Shopping,Clothing & Apparel
Omnisend,E-Commerce Email Marketing,Expense,Technology,Software & SaaS
OMNY,NYC Transit Tap-to-Pay,Expense,Transportation,Public Transit
OMV,Gas Station (Austria),Expense,Transportation,Gas & Fuel
On Cloud,Swiss Running Shoes,Expense,Shopping,Clothing & Apparel
On Running,Premium Running Footwear,Expense,Shopping,Clothing & Apparel
On The Border,Tex-Mex Restaurant,Expense,Food & Dining,Restaurants
Once Upon a Farm,Organic Baby Food,Expense,Kids & Family,Toys & Activities
One Hour Heating & Air,HVAC Service,Expense,Housing & Utilities,Utilities
One Stop,Convenience Store,Expense,Food & Dining,Groceries
One&Only Resorts,Ultra-Luxury Resort,Expense,Travel,Hotels & Lodging
OnePlus,Smartphone Brand (China),Expense,Shopping,Electronics
Onyx Coffee Lab,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Ootoya,Japanese Home Cooking Chain,Expense,Food & Dining,Restaurants
Opal Card,Sydney Transit,Expense,Transportation,Public Transit
Open Farm,Sustainable Pet Food,Expense,Shopping,Pet Supplies
OpenAI,AI & Machine Learning,Expense,Technology,Software & SaaS
Oporto,Fast Food Portuguese Chicken (AU),Expense,Food & Dining,Fast Food
Oppo,Smartphone (China),Expense,Shopping,Electronics
Optavia,Health & Wellness Coaching,Expense,Health & Wellness,Health Products
OptumRx,Pharmacy Benefit Manager,Expense,Health & Wellness,Pharmacy
Optus,Telecom (Australia),Expense,Housing & Utilities,Utilities
Oral-B,Electric Toothbrush,Expense,Health & Wellness,Health Products
Orange,Telecom (France/Global),Expense,Housing & Utilities,Utilities
Orange Leaf,Self-Serve Frozen Yogurt,Expense,Food & Dining,Ice Cream & Yogurt
Orangetheory,Boutique Fitness,Expense,Entertainment,Sports & Recreation
Orangetheory Fitness,Boutique Fitness,Expense,Entertainment,Sports & Recreation
Orbi,Mesh WiFi (Netgear),Expense,Shopping,Electronics
Organic Food Bar,Health Food Store,Expense,Food & Dining,Groceries
Origin Coffee,Specialty Coffee (Cornwall),Expense,Food & Dining,Coffee & Tea
Original Joe's,Casual Dining (Canada),Expense,Food & Dining,Restaurants
Orijen,Premium Pet Food,Expense,Shopping,Pet Supplies
Orkin,Pest Control Service,Expense,Housing & Utilities,Utilities
Orlen,Gas Station (Poland),Expense,Transportation,Gas & Fuel
Orsonero,Specialty Coffee (Milan),Expense,Food & Dining,Coffee & Tea
Oscar Health,Health Insurance,Expense,Financial Services,Banking Fees
OshKosh B'Gosh,Children's Clothing,Expense,Shopping,Clothing & Apparel
Osmo,Interactive Learning,Expense,Kids & Family,Toys & Activities
Osprey Packs,Backpacks & Travel,Expense,Shopping,Sporting Goods
Osteria Francescana,Fine Dining (Italy),Expense,Food & Dining,Restaurants
OtterBox,Phone Cases & Protection,Expense,Shopping,Electronics
Oura Ring,Wearable Health Tracker,Expense,Health & Wellness,Health Products
Outback Brazil,Steakhouse,Expense,Food & Dining,Restaurants
Outback Steakhouse,Casual Dining Steakhouse,Expense,Food & Dining,Restaurants
Outdoor Voices,Casual Athletic Apparel,Expense,Shopping,Clothing & Apparel
Outschool,Live Online Classes (Kids),Expense,Education,Online Learning
OV-chipkaart,Netherlands Transit,Expense,Transportation,Public Transit
Overstock.com,Online Discount Retailer,Expense,Shopping,General Retail
OVS,Family Fashion (Italy),Expense,Shopping,Clothing & Apparel
Owlet,Smart Baby Monitor,Expense,Kids & Family,Toys & Activities
OXO,Kitchen Tools & Gadgets,Expense,Shopping,Home & Garden
OXXO,Convenience Store Chain,Expense,Food & Dining,Groceries
OYO Rooms,Budget Hotel Chain (India/Global),Expense,Travel,Hotels & Lodging
Oyster Card,London Transit Card,Expense,Transportation,Public Transit
Ozone Coffee,Specialty Coffee (NZ/London),Expense,Food & Dining,Coffee & Tea
P.F. Chang's,Asian Casual Dining,Expense,Food & Dining,Restaurants
P448,Italian Luxury Sneakers,Expense,Shopping,Clothing & Apparel
Pacific Coffee,Coffee Chain (HK),Expense,Food & Dining,Coffee & Tea
Pacific Gas & Electric (PG&E),Electric & Gas Utility,Expense,Housing & Utilities,Utilities
PagerDuty,Incident Management,Expense,Technology,Software & SaaS
Pain D'Avignon,French Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Pak'nSave,Discount Supermarket (NZ),Expense,Food & Dining,Groceries
Palace,Streetwear Brand (UK),Expense,Shopping,Clothing & Apparel
Palacio de Hierro,Luxury Department (Mexico),Expense,Shopping,General Retail
Pampers,Diapers,Expense,Kids & Family,Toys & Activities
Panasonic Lumix,Camera & Imaging,Expense,Shopping,Electronics
Panda Express,Fast Food Chinese,Expense,Food & Dining,Fast Food
Panda Retail,Hypermarket Chain,Expense,Food & Dining,Groceries
Pandora,Jewelry Retailer,Expense,Shopping,Clothing & Apparel
Panera Bread,Bakery Cafe Chain,Expense,Food & Dining,Bakery & Desserts
